"id","event","device","date","timestamp"
"74","lost","00:11:9F:BB:3E:02","2005-08-17T13:50:59+01:00","1124283059"
"75","found","00:0F:DE:FC:C4:E1","2005-08-17T14:17:59+01:00","1124284679"
"76","lost","00:0F:DE:FC:C4:E1","2005-08-17T14:18:44+01:00","1124284724"
"77","found","00:11:9F:BB:91:33","2005-08-17T15:26:46+01:00","1124288806"
"78","lost","00:11:9F:BB:91:33","2005-08-17T15:27:31+01:00","1124288851"
"79","found","00:13:FD:8C:8C:08","2005-08-17T16:03:47+01:00","1124291027"
"80","lost","00:13:FD:8C:8C:08","2005-08-17T16:04:32+01:00","1124291072"
"81","found","00:0E:07:B4:09:A5","2005-08-17T16:10:32+01:00","1124291432"
"82","lost","00:0E:07:B4:09:A5","2005-08-17T16:11:17+01:00","1124291477"
"83","found","00:0F:DE:9E:C1:1C","2005-08-17T16:34:02+01:00","1124292842"
"84","lost","00:0F:DE:9E:C1:1C","2005-08-17T16:34:47+01:00","1124292887"
"85","found","00:0E:ED:00:4F:C5","2005-08-17T16:37:17+01:00","1124293037"
"86","found","00:03:89:8C:05:C3","2005-08-17T16:37:32+01:00","1124293052"
"87","found","00:0A:D9:9B:90:C5","2005-08-17T16:42:02+01:00","1124293322"
"88","lost","00:0A:D9:9B:90:C5","2005-08-17T16:43:02+01:00","1124293382"
"89","lost","00:03:89:8C:05:C3","2005-08-17T17:04:48+01:00","1124294688"
"90","found","00:0E:ED:83:A4:EF","2005-08-17T17:06:33+01:00","1124294793"
"91","lost","00:0E:ED:83:A4:EF","2005-08-17T17:07:18+01:00","1124294838"
"92","found","00:12:62:DD:E9:6B","2005-08-17T17:21:03+01:00","1124295663"
"93","lost","00:12:62:DD:E9:6B","2005-08-17T17:21:48+01:00","1124295708"
"94","found","00:60:57:38:98:C3","2005-08-17T17:31:04+01:00","1124296264"
"95","lost","00:60:57:38:98:C3","2005-08-17T17:31:49+01:00","1124296309"
"96","found","00:0E:07:82:24:1B","2005-08-17T17:37:49+01:00","1124296669"
"97","lost","00:0E:07:82:24:1B","2005-08-17T17:38:34+01:00","1124296714"
"98","found","00:13:FD:7A:F4:EB","2005-08-17T17:45:04+01:00","1124297104"
"99","lost","00:13:FD:7A:F4:EB","2005-08-17T17:45:49+01:00","1124297149"
"100","found","00:60:57:50:65:97","2005-08-17T17:49:34+01:00","1124297374"
"101","lost","00:60:57:50:65:97","2005-08-17T17:50:19+01:00","1124297419"
"102","found","00:60:57:2A:72:D1","2005-08-17T17:57:19+01:00","1124297839"
"103","found","00:11:9F:B5:45:89","2005-08-17T17:57:49+01:00","1124297869"
"104","lost","00:60:57:2A:72:D1","2005-08-17T17:58:04+01:00","1124297884"
"105","lost","00:11:9F:B5:45:89","2005-08-17T17:58:34+01:00","1124297914"
"106","found","00:11:9F:BB:3E:02","2005-08-17T18:00:04+01:00","1124298004"
"107","lost","00:11:9F:BB:3E:02","2005-08-17T18:00:49+01:00","1124298049"
"108","found","00:12:8A:19:B0:0F","2005-08-17T18:05:04+01:00","1124298304"
"109","lost","00:12:8A:19:B0:0F","2005-08-17T18:05:49+01:00","1124298349"
"110","found","00:12:62:14:74:22","2005-08-17T18:34:20+01:00","1124300060"
"111","lost","00:12:62:14:74:22","2005-08-17T18:35:05+01:00","1124300105"
"112","found","00:0E:ED:00:4F:C5","2005-08-17T18:35:56+01:00","1124300156"
"113","found","00:0F:B3:92:05:D3","2005-08-17T18:35:56+01:00","1124300156"
"114","found","00:0A:D9:3F:3A:F9","2005-08-17T18:48:10+01:00","1124300890"
"115","lost","00:0A:D9:3F:3A:F9","2005-08-17T18:48:55+01:00","1124300935"
"116","found","08:00:1F:91:72:80","2005-08-17T18:53:55+01:00","1124301235"
"117","lost","08:00:1F:91:72:80","2005-08-17T18:54:40+01:00","1124301280"
"118","found","00:11:9F:AE:23:CB","2005-08-17T18:56:10+01:00","1124301370"
"119","lost","00:11:9F:AE:23:CB","2005-08-17T18:56:55+01:00","1124301415"
"120","found","00:0E:ED:17:28:DA","2005-08-17T19:02:25+01:00","1124301745"
"121","lost","00:0E:ED:17:28:DA","2005-08-17T19:03:10+01:00","1124301790"
"122","found","00:11:9F:5E:B6:78","2005-08-17T19:03:40+01:00","1124301820"
"123","lost","00:11:9F:5E:B6:78","2005-08-17T19:04:25+01:00","1124301865"
"124","found","00:E0:03:32:67:B0","2005-08-17T19:06:10+01:00","1124301970"
"125","lost","00:E0:03:32:67:B0","2005-08-17T19:06:55+01:00","1124302015"
"126","found","00:12:47:23:41:EB","2005-08-17T19:09:10+01:00","1124302150"
"127","lost","00:12:47:23:41:EB","2005-08-17T19:09:55+01:00","1124302195"
"128","found","00:13:6C:02:F0:63","2005-08-17T19:18:41+01:00","1124302721"
"129","lost","00:13:6C:02:F0:63","2005-08-17T19:19:26+01:00","1124302766"
"130","found","00:0E:07:2A:A7:04","2005-08-17T19:25:11+01:00","1124303111"
"131","lost","00:0E:07:2A:A7:04","2005-08-17T19:25:56+01:00","1124303156"
"132","found","00:0E:ED:50:BA:B4","2005-08-17T19:28:26+01:00","1124303306"
"133","lost","00:0E:ED:50:BA:B4","2005-08-17T19:29:11+01:00","1124303351"
"134","found","00:0E:ED:5E:C9:98","2005-08-17T19:36:11+01:00","1124303771"
"135","lost","00:0E:ED:5E:C9:98","2005-08-17T19:36:56+01:00","1124303816"
"136","found","00:12:62:08:DD:3E","2005-08-17T19:47:41+01:00","1124304461"
"137","lost","00:12:62:08:DD:3E","2005-08-17T19:48:56+01:00","1124304536"
"138","found","00:02:C7:4E:A4:20","2005-08-17T19:53:56+01:00","1124304836"
"139","lost","00:02:C7:4E:A4:20","2005-08-17T19:54:42+01:00","1124304882"
"140","found","00:0E:ED:7F:2F:33","2005-08-17T20:03:12+01:00","1124305392"
"141","lost","00:0E:ED:7F:2F:33","2005-08-17T20:04:12+01:00","1124305452"
"142","found","00:0A:D9:9B:90:C5","2005-08-17T20:07:42+01:00","1124305662"
"143","found","08:00:1F:93:C1:75","2005-08-17T20:07:42+01:00","1124305662"
"144","lost","00:0A:D9:9B:90:C5","2005-08-17T20:08:27+01:00","1124305707"
"145","lost","08:00:1F:93:C1:75","2005-08-17T20:08:27+01:00","1124305707"
"146","found","00:11:9F:66:63:E1","2005-08-17T20:11:27+01:00","1124305887"
"147","lost","00:11:9F:66:63:E1","2005-08-17T20:12:12+01:00","1124305932"
"148","found","00:0F:DE:6D:62:12","2005-08-17T20:15:42+01:00","1124306142"
"149","lost","00:0F:DE:6D:62:12","2005-08-17T20:16:27+01:00","1124306187"
"150","found","00:0E:ED:5C:6B:84","2005-08-17T20:27:12+01:00","1124306832"
"151","lost","00:0E:ED:5C:6B:84","2005-08-17T20:27:57+01:00","1124306877"
"152","found","00:02:C7:4E:A4:20","2005-08-17T20:33:27+01:00","1124307207"
"153","lost","00:02:C7:4E:A4:20","2005-08-17T20:34:12+01:00","1124307252"
"154","found","00:12:62:07:20:5D","2005-08-17T20:36:27+01:00","1124307387"
"155","lost","00:12:62:07:20:5D","2005-08-17T20:37:42+01:00","1124307462"
"156","found","08:00:1F:19:DE:07","2005-08-17T20:41:42+01:00","1124307702"
"157","lost","08:00:1F:19:DE:07","2005-08-17T20:42:28+01:00","1124307748"
"158","found","00:12:62:E0:02:09","2005-08-17T20:57:13+01:00","1124308633"
"159","lost","00:12:62:E0:02:09","2005-08-17T20:57:58+01:00","1124308678"
"160","found","00:12:62:A1:82:81","2005-08-17T21:02:28+01:00","1124308948"
"161","lost","00:12:62:A1:82:81","2005-08-17T21:03:13+01:00","1124308993"
"162","found","00:09:2D:12:CE:0D","2005-08-17T21:06:43+01:00","1124309203"
"163","found","00:12:62:A1:82:81","2005-08-17T21:06:58+01:00","1124309218"
"164","found","00:13:FD:83:17:2A","2005-08-17T21:06:58+01:00","1124309218"
"165","lost","00:09:2D:12:CE:0D","2005-08-17T21:07:28+01:00","1124309248"
"166","lost","00:12:62:A1:82:81","2005-08-17T21:07:43+01:00","1124309263"
"167","lost","00:13:FD:83:17:2A","2005-08-17T21:07:43+01:00","1124309263"
"168","lost","00:0F:B3:92:05:D3","2005-08-17T21:08:58+01:00","1124309338"
"169","found","00:0F:B3:92:05:D3","2005-08-17T21:09:13+01:00","1124309353"
"170","lost","00:0F:B3:92:05:D3","2005-08-17T21:09:58+01:00","1124309398"
"171","found","00:0F:B3:92:05:D3","2005-08-17T21:10:13+01:00","1124309413"
"172","lost","00:0F:B3:92:05:D3","2005-08-17T21:12:28+01:00","1124309548"
"173","found","00:0F:B3:92:05:D3","2005-08-17T21:12:43+01:00","1124309563"
"174","lost","00:0F:B3:92:05:D3","2005-08-17T21:13:58+01:00","1124309638"
"175","found","00:0F:B3:92:05:D3","2005-08-17T21:14:13+01:00","1124309653"
"176","lost","00:0F:B3:92:05:D3","2005-08-17T21:16:13+01:00","1124309773"
"177","found","00:0F:B3:92:05:D3","2005-08-17T21:16:28+01:00","1124309788"
"178","found","00:0F:B3:4F:FE:B3","2005-08-17T21:20:28+01:00","1124310028"
"179","lost","00:0F:B3:92:05:D3","2005-08-17T21:25:13+01:00","1124310313"
"180","found","00:0F:B3:92:05:D3","2005-08-17T21:25:29+01:00","1124310329"
"181","lost","00:0F:B3:92:05:D3","2005-08-17T21:26:43+01:00","1124310403"
"182","lost","00:0F:B3:4F:FE:B3","2005-08-17T21:27:28+01:00","1124310448"
"183","found","00:0F:B3:92:05:D3","2005-08-17T21:28:29+01:00","1124310509"
"184","lost","00:0F:B3:92:05:D3","2005-08-17T21:32:14+01:00","1124310734"
"185","found","00:0F:B3:92:05:D3","2005-08-17T21:32:59+01:00","1124310779"
"186","lost","00:0F:B3:92:05:D3","2005-08-17T21:45:14+01:00","1124311514"
"187","found","00:0F:B3:92:05:D3","2005-08-17T21:45:29+01:00","1124311529"
"188","lost","00:0F:B3:92:05:D3","2005-08-17T21:51:14+01:00","1124311874"
"189","found","00:0F:B3:92:05:D3","2005-08-17T21:51:29+01:00","1124311889"
"190","lost","00:0F:B3:92:05:D3","2005-08-17T21:54:29+01:00","1124312069"
"191","found","00:0F:B3:92:05:D3","2005-08-17T21:54:44+01:00","1124312084"
"192","lost","00:0F:B3:92:05:D3","2005-08-17T21:56:14+01:00","1124312174"
"193","found","00:0F:B3:92:05:D3","2005-08-17T21:56:29+01:00","1124312189"
"194","lost","00:0F:B3:92:05:D3","2005-08-17T22:00:59+01:00","1124312459"
"195","found","00:0F:B3:92:05:D3","2005-08-17T22:01:14+01:00","1124312474"
"196","lost","00:0F:B3:92:05:D3","2005-08-17T22:04:29+01:00","1124312669"
"197","found","00:0F:B3:92:05:D3","2005-08-17T22:04:44+01:00","1124312684"
"198","lost","00:0F:B3:92:05:D3","2005-08-17T22:11:15+01:00","1124313075"
"199","found","00:0F:B3:92:05:D3","2005-08-17T22:11:29+01:00","1124313089"
"200","lost","00:0F:B3:92:05:D3","2005-08-17T22:24:45+01:00","1124313885"
"201","found","00:0F:B3:92:05:D3","2005-08-17T22:25:00+01:00","1124313900"
"202","found","00:60:57:70:25:0F","2005-08-17T22:29:00+01:00","1124314140"
"203","lost","00:0F:B3:92:05:D3","2005-08-17T22:29:00+01:00","1124314140"
"204","found","00:0F:B3:92:05:D3","2005-08-17T22:29:15+01:00","1124314155"
"205","lost","00:60:57:70:25:0F","2005-08-17T22:29:45+01:00","1124314185"
"206","found","00:12:62:04:38:39","2005-08-17T22:33:45+01:00","1124314425"
"207","lost","00:12:62:04:38:39","2005-08-17T22:34:30+01:00","1124314470"
"208","lost","00:0F:B3:92:05:D3","2005-08-17T22:36:30+01:00","1124314590"
"209","found","00:0F:B3:92:05:D3","2005-08-17T22:36:45+01:00","1124314605"
"210","lost","00:0F:B3:92:05:D3","2005-08-17T22:38:30+01:00","1124314710"
"211","found","00:0F:B3:92:05:D3","2005-08-17T22:38:45+01:00","1124314725"
"212","found","00:02:EE:D4:BA:BA","2005-08-17T22:40:00+01:00","1124314800"
"213","lost","00:02:EE:D4:BA:BA","2005-08-17T22:40:45+01:00","1124314845"
"214","lost","00:0F:B3:92:05:D3","2005-08-17T22:42:15+01:00","1124314935"
"215","found","00:0F:B3:92:05:D3","2005-08-17T22:42:30+01:00","1124314950"
"216","found","00:0E:07:9A:71:05","2005-08-17T22:44:45+01:00","1124315085"
"217","lost","00:0E:07:9A:71:05","2005-08-17T22:45:30+01:00","1124315130"
"218","lost","00:0F:B3:92:05:D3","2005-08-17T22:49:45+01:00","1124315385"
"219","found","00:0F:B3:92:05:D3","2005-08-17T22:50:00+01:00","1124315400"
"220","lost","00:0F:B3:92:05:D3","2005-08-17T23:05:46+01:00","1124316346"
"221","found","00:0F:B3:92:05:D3","2005-08-17T23:06:01+01:00","1124316361"
"222","lost","00:0F:B3:92:05:D3","2005-08-17T23:07:46+01:00","1124316466"
"223","found","00:0F:B3:92:05:D3","2005-08-17T23:08:01+01:00","1124316481"
"224","lost","00:0F:B3:92:05:D3","2005-08-17T23:24:16+01:00","1124317456"
"225","found","00:0F:B3:92:05:D3","2005-08-17T23:24:31+01:00","1124317471"
"226","lost","00:0F:B3:92:05:D3","2005-08-17T23:35:01+01:00","1124318101"
"227","found","00:0F:B3:92:05:D3","2005-08-17T23:35:16+01:00","1124318116"
"228","lost","00:0F:B3:92:05:D3","2005-08-17T23:39:16+01:00","1124318356"
"229","found","00:0F:B3:92:05:D3","2005-08-17T23:39:32+01:00","1124318372"
"230","lost","00:0F:B3:92:05:D3","2005-08-17T23:51:47+01:00","1124319107"
"231","found","00:0F:B3:92:05:D3","2005-08-17T23:52:02+01:00","1124319122"
"232","found","00:13:70:19:ED:0F","2005-08-18T00:09:47+01:00","1124320187"
"233","lost","00:13:70:19:ED:0F","2005-08-18T00:10:32+01:00","1124320232"
"234","found","00:12:62:29:08:98","2005-08-18T00:17:32+01:00","1124320652"
"235","lost","00:12:62:29:08:98","2005-08-18T00:18:17+01:00","1124320697"
"236","found","00:13:6C:01:20:E5","2005-08-18T00:41:33+01:00","1124322093"
"237","lost","00:13:6C:01:20:E5","2005-08-18T00:42:18+01:00","1124322138"
"238","lost","00:0F:B3:92:05:D3","2005-08-18T00:47:18+01:00","1124322438"
"239","found","00:0F:B3:92:05:D3","2005-08-18T00:47:33+01:00","1124322453"
"240","found","00:C0:1B:05:BE:F8","2005-08-18T05:45:25+01:00","1124340325"
"241","lost","00:C0:1B:05:BE:F8","2005-08-18T05:46:10+01:00","1124340370"
"242","lost","00:0F:B3:92:05:D3","2005-08-18T05:53:25+01:00","1124340805"
"243","found","00:0F:B3:92:05:D3","2005-08-18T05:53:40+01:00","1124340820"
"244","lost","00:0F:B3:92:05:D3","2005-08-18T05:58:40+01:00","1124341120"
"245","found","00:0F:B3:92:05:D3","2005-08-18T05:58:55+01:00","1124341135"
"246","lost","00:0F:B3:92:05:D3","2005-08-18T07:09:42+01:00","1124345382"
"247","found","00:0F:B3:92:05:D3","2005-08-18T07:09:57+01:00","1124345397"
"248","found","00:12:62:29:EF:21","2005-08-18T07:45:42+01:00","1124347542"
"249","lost","00:12:62:29:EF:21","2005-08-18T07:46:27+01:00","1124347587"
"250","lost","00:0F:B3:92:05:D3","2005-08-18T07:48:58+01:00","1124347738"
"251","found","00:0F:B3:92:05:D3","2005-08-18T07:49:13+01:00","1124347753"
"252","lost","00:0F:B3:92:05:D3","2005-08-18T07:58:28+01:00","1124348308"
"253","found","00:0F:B3:92:05:D3","2005-08-18T07:58:43+01:00","1124348323"
"254","found","00:11:9F:5C:4B:77","2005-08-18T07:58:58+01:00","1124348338"
"255","lost","00:11:9F:5C:4B:77","2005-08-18T07:59:43+01:00","1124348383"
"256","found","00:13:FD:87:93:A7","2005-08-18T08:03:43+01:00","1124348623"
"257","lost","00:13:FD:87:93:A7","2005-08-18T08:04:28+01:00","1124348668"
"258","lost","00:0F:B3:92:05:D3","2005-08-18T08:06:28+01:00","1124348788"
"259","found","00:0F:B3:92:05:D3","2005-08-18T08:06:43+01:00","1124348803"
"260","found","00:0F:DE:DF:FC:61","2005-08-18T08:10:58+01:00","1124349058"
"261","lost","00:0F:DE:DF:FC:61","2005-08-18T08:11:43+01:00","1124349103"
"262","found","00:13:70:E5:96:C1","2005-08-18T08:13:28+01:00","1124349208"
"263","lost","00:13:70:E5:96:C1","2005-08-18T08:14:13+01:00","1124349253"
"264","found","00:0E:07:C0:92:BF","2005-08-18T08:14:43+01:00","1124349283"
"265","lost","00:0E:07:C0:92:BF","2005-08-18T08:15:28+01:00","1124349328"
"266","lost","00:0F:B3:92:05:D3","2005-08-18T08:20:58+01:00","1124349658"
"267","found","00:0F:B3:92:05:D3","2005-08-18T08:21:43+01:00","1124349703"
"268","found","00:0E:07:43:A0:86","2005-08-18T08:21:58+01:00","1124349718"
"269","lost","00:0E:07:43:A0:86","2005-08-18T08:22:43+01:00","1124349763"
"270","lost","00:0F:B3:92:05:D3","2005-08-18T08:25:58+01:00","1124349958"
"271","found","00:0F:B3:92:05:D3","2005-08-18T08:26:28+01:00","1124349988"
"272","found","00:12:62:AD:C2:C9","2005-08-18T08:27:28+01:00","1124350048"
"273","lost","00:12:62:AD:C2:C9","2005-08-18T08:28:13+01:00","1124350093"
"274","lost","00:0F:B3:92:05:D3","2005-08-18T08:31:29+01:00","1124350289"
"275","found","00:0F:B3:92:05:D3","2005-08-18T08:32:14+01:00","1124350334"
"276","found","00:11:9F:01:00:D3","2005-08-18T08:40:14+01:00","1124350814"
"277","lost","00:11:9F:01:00:D3","2005-08-18T08:40:59+01:00","1124350859"
"278","found","00:12:47:1B:E7:DA","2005-08-18T08:42:14+01:00","1124350934"
"279","found","00:13:70:E3:FB:DA","2005-08-18T08:42:44+01:00","1124350964"
"280","lost","00:12:47:1B:E7:DA","2005-08-18T08:43:14+01:00","1124350994"
"281","lost","00:13:70:E3:FB:DA","2005-08-18T08:43:29+01:00","1124351009"
"282","found","00:0E:ED:1E:66:59","2005-08-18T08:49:14+01:00","1124351354"
"283","found","00:12:62:2C:9E:E0","2005-08-18T08:49:44+01:00","1124351384"
"284","lost","00:0E:ED:1E:66:59","2005-08-18T08:49:59+01:00","1124351399"
"285","lost","00:12:62:2C:9E:E0","2005-08-18T08:50:29+01:00","1124351429"
"286","found","00:12:47:2D:A6:D4","2005-08-18T08:52:14+01:00","1124351534"
"287","lost","00:12:47:2D:A6:D4","2005-08-18T08:52:59+01:00","1124351579"
"288","found","00:60:57:BF:B7:41","2005-08-18T09:11:44+01:00","1124352704"
"289","lost","00:60:57:BF:B7:41","2005-08-18T09:12:29+01:00","1124352749"
"290","found","00:12:62:C5:15:39","2005-08-18T09:16:30+01:00","1124352990"
"291","lost","00:12:62:C5:15:39","2005-08-18T09:17:15+01:00","1124353035"
"292","found","00:12:62:1C:A4:34","2005-08-18T09:31:45+01:00","1124353905"
"293","lost","00:12:62:1C:A4:34","2005-08-18T09:32:30+01:00","1124353950"
"294","found","08:00:1F:9B:C3:35","2005-08-18T09:35:15+01:00","1124354115"
"295","lost","08:00:1F:9B:C3:35","2005-08-18T09:36:00+01:00","1124354160"
"296","found","00:02:EE:C2:B2:06","2005-08-18T09:47:15+01:00","1124354835"
"297","lost","00:02:EE:C2:B2:06","2005-08-18T09:48:00+01:00","1124354880"
"298","found","00:12:62:29:06:16","2005-08-18T09:57:00+01:00","1124355420"
"299","lost","00:12:62:29:06:16","2005-08-18T09:57:45+01:00","1124355465"
"300","lost","00:0F:B3:92:05:D3","2005-08-18T10:13:01+01:00","1124356381"
"301","found","00:0F:B3:92:05:D3","2005-08-18T10:13:16+01:00","1124356396"
"302","found","00:12:62:E0:63:8E","2005-08-18T10:14:46+01:00","1124356486"
"303","lost","00:12:62:E0:63:8E","2005-08-18T10:15:31+01:00","1124356531"
"304","found","00:0E:07:C0:A0:9C","2005-08-18T10:21:16+01:00","1124356876"
"305","lost","00:0E:07:C0:A0:9C","2005-08-18T10:22:01+01:00","1124356921"
"306","found","00:0E:ED:1B:A4:AB","2005-08-18T10:30:16+01:00","1124357416"
"307","found","00:0E:ED:51:64:74","2005-08-18T10:30:16+01:00","1124357416"
"308","lost","00:0E:ED:1B:A4:AB","2005-08-18T10:31:01+01:00","1124357461"
"309","lost","00:0E:ED:51:64:74","2005-08-18T10:31:01+01:00","1124357461"
"310","found","00:60:57:FE:DC:DB","2005-08-18T10:34:16+01:00","1124357656"
"311","found","00:E0:0C:5C:21:E0","2005-08-18T10:34:16+01:00","1124357656"
"312","lost","00:60:57:FE:DC:DB","2005-08-18T10:35:01+01:00","1124357701"
"313","lost","00:E0:0C:5C:21:E0","2005-08-18T10:35:01+01:00","1124357701"
"314","lost","00:0F:B3:92:05:D3","2005-08-18T10:39:16+01:00","1124357956"
"315","found","00:0F:B3:92:05:D3","2005-08-18T10:40:01+01:00","1124358001"
"316","lost","00:0F:B3:92:05:D3","2005-08-18T10:42:17+01:00","1124358137"
"317","found","00:0F:B3:92:05:D3","2005-08-18T10:42:31+01:00","1124358151"
"318","found","00:12:47:6D:C1:8E","2005-08-18T10:50:02+01:00","1124358602"
"319","lost","00:12:47:6D:C1:8E","2005-08-18T10:51:17+01:00","1124358677"
"320","lost","00:0F:B3:92:05:D3","2005-08-18T10:53:17+01:00","1124358797"
"321","found","00:0F:B3:92:05:D3","2005-08-18T10:53:47+01:00","1124358827"
"322","found","00:0A:D9:36:3E:FF","2005-08-18T10:57:47+01:00","1124359067"
